name,type,pilot,work-package,description,link
Tutorial on Tonalities Output of Polifonia (part 1/2),Tutorial,TONALITIES,WP1,Tutorial on Tonalities Output of Polifonia (part 1/2),https://www.youtube.com/watch?v=z84Q0vPYMlQ
Tutorial on Tonalities Output of Polifonia (part 2/2),Tutorial,TONALITIES,WP1,Tutorial on Tonalities Output of Polifonia (part 2/2),https://www.youtube.com/watch?v=vgmy8hRoaU0
Tutorial on Polifonia Ecosystem,Tutorial,,WP1,Tutorial on Polifonia Ecosystem,https://www.youtube.com/watch?v=tQdDY2rRQHc
Tutorial on Meetups Output of Polifonia,Tutorial,MEETUPS,WP1,Tutorial on Meetups Output of Polifonia,https://www.youtube.com/watch?v=VNqSzutgras
Tutorial on Facets Output of Polifonia,Tutorial,FACETS,WP1,Tutorial on Facets Output of Polifonia,https://www.youtube.com/watch?v=AT-30bnqiEc&t=1s
Outputs and lines of work of the Polifonia WorkPackage1,Documentation,,WP1,Introductionary video of the outputs and lines of work of the Polifonia Work Package 1,https://www.youtube.com/watch?v=eLjNobupHFc&t=7s
Outputs and lines of work of the Polifonia WorkPackage2,Documentation,,WP2,Introductionary video of the outputs and lines of work of the Polifonia Work Package 2,https://www.youtube.com/watch?v=LiZQH75gRo0
Outputs and lines of work of the Polifonia WorkPackage3,Documentation,,WP3,Introductionary video of the outputs and lines of work of the Polifonia Work Package 3,https://www.youtube.com/watch?v=DntIlJqBb9M
Outputs and lines of work of the Polifonia WorkPackage4,Documentation,,WP4,Introductionary video of the outputs and lines of work of the Polifonia Work Package 4,https://www.youtube.com/watch?v=622nswxXs2U
Outputs and lines of work of the Polifonia ORGANS Pilot,Documentation,ORGANS,WP1,Introductionary video of the outputs and lines of work of the Polifonia ORGANS Pilot,https://www.youtube.com/watch?v=5BRvdWuqHvg
Outputs and lines of work of the Polifonia WorkPackage5,Documentation,,WP5,Introductionary video of the outputs and lines of work of the Polifonia Work Package 5,https://www.youtube.com/watch?v=gUsKjo9edno
Outputs and lines of work of the Polifonia BELLS pilot,Documentation,BELLS,WP1,Introductionary video of the outputs and lines of work of the Polifonia BELLS Pilot,https://www.youtube.com/watch?v=r2LALrWoWTA
Outputs and lines of work of the Polifonia TONALITIES pilot,Documentation,TONALITIES,WP1,Introductionary video of the outputs and lines of work of the Polifonia TONALITIES Pilot,https://www.youtube.com/watch?v=sTKGm1FK0Oo
Outputs and lines of work of the Polifonia FACETS pilot,Documentation,FACETS,WP1,Introductionary video of the outputs and lines of work of the Polifonia FCAETS Pilot,https://www.youtube.com/watch?v=ExGcaTgaep0
Outputs and lines of work of the Polifonia INTERLINK pilot,Documentation,INTERLINK,WP1,Introductionary video of the outputs and lines of work of the Polifonia INTERLINK Pilot,https://www.youtube.com/watch?v=_GqMAH830JM
Outputs and lines of work of the Polifonia CHILD pilot,Documentation,CHILD,WP1,Introductionary video of the outputs and lines of work of the Polifonia CHILD Pilot,https://www.youtube.com/watch?v=BQg0cr6V75c&t=48s
Outputs and lines of work of the Polifonia MUSICBO pilot,Documentation,MUSICBO,WP1,Introductionary video of the outputs and lines of work of the Polifonia MUSICBO Pilot,https://www.youtube.com/watch?v=gMQNJOXLzKc
Outputs and lines of work of the Polifonia MEETUPS pilot,Documentation,MEETUPS,WP1,Introductionary video of the outputs and lines of work of the Polifonia MEETUPS Pilot,https://www.youtube.com/watch?v=NqEbw2Ezv_4
Outputs and lines of work of the Polifonia TUNES pilot,Documentation,TUNES,WP1,Introductionary video of the outputs and lines of work of the Polifonia TUNES Pilot,https://www.youtube.com/watch?v=giF-Lrgc23s
